State,City,Label,Regular,Diesel,Mid,Premium
VT,Burlington,Current,3.397,4.38,4.001,4.393
VT,Burlington,Yesterday,3.416,4.401,4.032,4.415
VT,Burlington,Week Ago,3.465,4.436,4.073,4.445
VT,Burlington,Month Ago,3.568,4.428,4.089,4.471
VT,Burlington,Year Ago,3.497,5.016,4.118,4.553
